scenario,duration(s),folder
20,101,20-08-22_16-45-39
21,70,20-08-22_16-45-39
22,40,20-08-22_16-45-39
1,40,18-05-22_08-49-34
2,40,18-05-22_08-49-34
3,40,18-05-22_08-49-34
4,41,18-05-22_08-49-34
5,40,18-05-22_08-49-34
6,40,18-05-22_08-49-34
7,40,18-05-22_08-49-34
8,40,18-05-22_08-49-34
9,40,18-05-22_08-49-34
10,64,18-05-22_08-49-34
11,40,18-05-22_08-49-34
12,90,18-05-22_08-49-34
13,52,18-05-22_08-49-34
14,40,18-05-22_08-49-34
15,52,18-05-22_08-49-34
16,176,18-05-22_08-49-34
17,40,18-05-22_08-49-34
18,52,18-05-22_08-49-34
19,74,18-05-22_08-49-34
20,41,18-05-22_08-49-34
21,41,18-05-22_08-49-34
22,40,18-05-22_08-49-34
23,65,18-05-22_08-49-34
24,62,18-05-22_08-49-34
25,74,18-05-22_08-49-34
26,40,18-05-22_08-49-34
27,53,18-05-22_08-49-34
28,42,18-05-22_08-49-34
29,46,18-05-22_08-49-34
30,40,18-05-22_08-49-34
31,57,18-05-22_08-49-34
32,40,18-05-22_08-49-34
1,40,21-06-22_19-37-39
2,41,21-06-22_19-37-39
3,42,21-06-22_19-37-39
4,40,21-06-22_19-37-39
5,40,21-06-22_19-37-39
6,90,21-06-22_19-37-39
7,40,21-06-22_19-37-39
8,52,21-06-22_19-37-39
9,81,21-06-22_19-37-39
10,49,21-06-22_19-37-39
11,40,21-06-22_19-37-39
12,40,21-06-22_19-37-39
13,40,21-06-22_19-37-39
14,40,21-06-22_19-37-39
15,91,21-06-22_19-37-39
16,40,21-06-22_19-37-39
17,81,21-06-22_19-37-39
18,68,21-06-22_19-37-39
19,42,21-06-22_19-37-39
20,62,21-06-22_19-37-39
21,40,21-06-22_19-37-39
22,40,21-06-22_19-37-39
23,64,21-06-22_19-37-39
24,72,21-06-22_19-37-39
25,61,21-06-22_19-37-39
26,40,21-06-22_19-37-39
27,40,21-06-22_19-37-39
1,50,20-06-22_22-18-30
1,46,29-07-22_11-38-12
2,56,29-07-22_11-38-12
3,40,29-07-22_11-38-12
4,40,29-07-22_11-38-12
5,40,29-07-22_11-38-12
6,40,29-07-22_11-38-12
7,40,29-07-22_11-38-12
8,40,29-07-22_11-38-12
9,40,29-07-22_11-38-12
10,40,29-07-22_11-38-12
1,41,29-06-22_15-17-14
2,40,29-06-22_15-17-14
3,51,29-06-22_15-17-14
4,105,29-06-22_15-17-14
5,41,29-06-22_15-17-14
6,40,29-06-22_15-17-14
7,40,29-06-22_15-17-14
8,79,29-06-22_15-17-14
9,57,29-06-22_15-17-14
10,68,29-06-22_15-17-14
11,40,29-06-22_15-17-14
12,48,29-06-22_15-17-14
13,40,29-06-22_15-17-14
14,40,29-06-22_15-17-14
15,174,29-06-22_15-17-14
16,63,29-06-22_15-17-14
17,40,29-06-22_15-17-14
18,41,29-06-22_15-17-14
19,40,29-06-22_15-17-14
20,40,29-06-22_15-17-14
21,40,29-06-22_15-17-14
22,42,29-06-22_15-17-14
23,40,29-06-22_15-17-14
24,111,29-06-22_15-17-14
25,40,29-06-22_15-17-14
26,41,29-06-22_15-17-14
27,46,29-06-22_15-17-14
28,40,29-06-22_15-17-14
29,41,29-06-22_15-17-14
30,40,29-06-22_15-17-14
31,41,29-06-22_15-17-14
32,49,29-06-22_15-17-14
33,79,29-06-22_15-17-14
34,40,29-06-22_15-17-14
35,40,29-06-22_15-17-14
36,73,29-06-22_15-17-14
37,41,29-06-22_15-17-14
38,77,29-06-22_15-17-14
39,40,29-06-22_15-17-14
40,98,29-06-22_15-17-14
41,41,29-06-22_15-17-14
42,40,29-06-22_15-17-14
43,41,29-06-22_15-17-14
44,75,29-06-22_15-17-14
45,40,29-06-22_15-17-14
46,40,29-06-22_15-17-14
47,40,29-06-22_15-17-14
48,46,29-06-22_15-17-14
49,75,29-06-22_15-17-14
50,116,29-06-22_15-17-14
1,40,20-07-22_18-08-23
2,55,20-07-22_18-08-23
3,42,20-07-22_18-08-23
4,40,20-07-22_18-08-23
5,109,20-07-22_18-08-23
6,40,20-07-22_18-08-23
7,40,20-07-22_18-08-23
8,40,20-07-22_18-08-23
9,40,20-07-22_18-08-23
10,40,20-07-22_18-08-23
11,76,20-07-22_18-08-23
12,40,20-07-22_18-08-23
13,43,20-07-22_18-08-23
14,40,20-07-22_18-08-23
15,40,20-07-22_18-08-23
16,40,20-07-22_18-08-23
17,40,20-07-22_18-08-23
18,40,20-07-22_18-08-23
19,40,20-07-22_18-08-23
20,67,20-07-22_18-08-23
21,47,20-07-22_18-08-23
22,40,20-07-22_18-08-23
23,42,20-07-22_18-08-23
24,40,20-07-22_18-08-23
25,41,20-07-22_18-08-23
26,41,20-07-22_18-08-23
1,116,15-05-22_17-56-47
2,52,15-05-22_17-56-47
3,41,15-05-22_17-56-47
4,44,15-05-22_17-56-47
5,43,15-05-22_17-56-47
6,44,15-05-22_17-56-47
7,41,15-05-22_17-56-47
8,40,15-05-22_17-56-47
9,41,15-05-22_17-56-47
10,118,15-05-22_17-56-47
11,101,15-05-22_17-56-47
12,47,15-05-22_17-56-47
13,40,15-05-22_17-56-47
14,41,15-05-22_17-56-47
15,108,15-05-22_17-56-47
16,40,15-05-22_17-56-47
17,40,15-05-22_17-56-47
18,170,15-05-22_17-56-47
19,41,15-05-22_17-56-47
20,99,15-05-22_17-56-47
21,40,15-05-22_17-56-47
22,41,15-05-22_17-56-47
23,55,15-05-22_17-56-47
24,41,15-05-22_17-56-47
25,43,15-05-22_17-56-47
26,41,15-05-22_17-56-47
27,106,15-05-22_17-56-47
28,65,15-05-22_17-56-47
29,41,15-05-22_17-56-47
30,41,15-05-22_17-56-47
31,41,15-05-22_17-56-47
32,40,15-05-22_17-56-47
1,40,19-08-22_19-39-41
1,40,30-07-22_19-40-32
2,83,30-07-22_19-40-32
3,40,30-07-22_19-40-32
4,61,30-07-22_19-40-32
5,83,30-07-22_19-40-32
6,40,30-07-22_19-40-32
7,40,30-07-22_19-40-32
8,40,30-07-22_19-40-32
9,41,30-07-22_19-40-32
10,41,30-07-22_19-40-32
11,50,30-07-22_19-40-32
12,55,30-07-22_19-40-32
13,40,30-07-22_19-40-32
14,40,30-07-22_19-40-32
15,41,30-07-22_19-40-32
16,40,30-07-22_19-40-32
1,182,21-05-22_13-56-29
2,51,21-05-22_13-56-29
3,41,21-05-22_13-56-29
4,75,21-05-22_13-56-29
5,81,21-05-22_13-56-29
